Release Year,Distributor,Genre, Domestic Sales (in $) , International Sales (in $) , World Sales (in $) 
2002,Warner Bros.,"['Adventure', 'Family', 'Fantasy', 'Mystery']",262450136,617152229,879602366
2012,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family']",161321843,715922939,877244782
2016,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Family']",368384330,507074301,875458631
2016,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",330360194,543277334,873637528
2005,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",380270577,488119983,868390560
2013,Lionsgate,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",424668047,440343699,865011746
2017,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",389813101,473942950,863756051
2015,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",356921711,501926308,858848019
2018,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",213515506,642569645,856085151
2017,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",315058289,538925622,853983911
2010,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",292576195,544260772,836836967
2009,DreamWorks,"['Action', 'Adventure', 'Sci-Fi']",402111870,434191823,836303693
2012,Lionsgate,"['Adventure', 'Drama', 'Fantasy', 'Romance']",292324737,537422917,829747654
2002,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",407022860,418002176,825025036
2017,Warner Bros.,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']",412815408,410009114,822824522
1996,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi']",306169268,511231623,817400891
2016,Warner Bros.,"['Adventure', 'Family', 'Fantasy']",234037575,580006426,814044001
2007,DreamWorks,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",322719944,490647436,813367380
2019,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Fantasy']",320314960,479744747,800059707
2004,Warner Bros.,"['Adventure', 'Family', 'Fantasy', 'Mystery']",249975996,547385621,797361618
2017,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy']",172558876,622322566,794881442
1982,Universal Pictures,"['Adventure', 'Family', 'Sci-Fi']",435110554,304203888,792910554
2018,Paramount Pictures,"['Action', 'Adventure', 'Thriller']",220159104,571498294,791657398
2009,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",166112167,625105659,791217826
2008,Paramount Pictures,"['Action', 'Adventure']",317101119,473552823,790653942
2004,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",373585825,415390628,788976453
2013,Universal Pictures,"['Action', 'Crime', 'Thriller']",238679850,550001118,788680968
2018,Twentieth Century Fox,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",324591735,461304874,785896609
2016,Twentieth Century Fox,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",363070709,419766082,782836791
1977,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",460998507,195751992,775398007
2014,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",333718600,439631547,773350147
2006,Sony Pictures Entertainment (SPE),"['Mystery', 'Thriller']",217536138,542470807,760006945
2019,Universal Pictures,"['Action', 'Adventure', 'Thriller']",173956935,585100000,759056935
2014,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy', 'Romance']",241410378,517001401,758411779
2012,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",262030663,495900000,757930663
2014,Lionsgate,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",337135885,418220826,755356711
2010,DreamWorks,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",238736787,513864080,752600867
2012,DreamWorks,"['Adventure', 'Animation', 'Comedy', 'Family']",216391482,530529792,746921274
2016,Warner Bros.,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",325100054,421746840,746846894
2014,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",233921534,512124166,746045700
2005,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy']",291710957,453302158,745013115
2003,Warner Bros.,"['Action', 'Sci-Fi']",281576461,460271476,741847937
2009,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",293004164,442094938,735099102
2013,Warner Bros.,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",274092705,449100000,723192705
2014,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",259766572,454654931,714421503
2011,Summit Entertainment,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",281287133,430918723,712205856
2009,Summit Entertainment,"['Adventure', 'Drama', 'Fantasy', 'Romance']",297816253,413209228,711025481
2014,Twentieth Century Fox,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",208545589,502098977,710644566
2007,DreamWorks,"['Action', 'Adventure', 'Sci-Fi']",319246193,390463587,709709780
2017,Warner Bros.,['Horror'],328828874,372967570,701796444
2014,Paramount Pictures,"['Adventure', 'Drama', 'Sci-Fi']",188020017,513709189,701729206
2010,Summit Entertainment,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",300531751,397959596,698491347
2011,Paramount Pictures,"['Action', 'Adventure', 'Thriller']",209397903,485315477,694713380
2012,Lionsgate,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",408010692,286384032,694394724
2015,Paramount Pictures,"['Action', 'Adventure', 'Thriller']",195042377,487674259,682716636
1994,Paramount Pictures,"['Drama', 'Romance']",330455270,347770863,678226133
2016,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",232641920,445154156,677796076
1999,Walt Disney Studios Motion Pictures,"['Drama', 'Mystery', 'Thriller']",293506292,379300140,672806432
2013,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",291045518,377000000,668045518
2006,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family']",195330621,471763885,667094506
2011,DreamWorks,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",165249063,500443218,665692281
2015,Lionsgate,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",281723902,376620235,658344137
2014,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",222527828,435341858,657869686
2018,Warner Bros.,"['Adventure', 'Family', 'Fantasy']",159555901,495300000,654855901
2003,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy']",305413918,348850097,654264015
2002,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",310676740,343103230,653779970
2013,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy']",206362140,438421000,644783140
2016,Universal Pictures,"['Animation', 'Comedy', 'Family', 'Musical']",270448425,363759959,634208384
2008,DreamWorks,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",215434591,416311606,631746197
2004,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Animation', 'Family']",261441092,370165961,631607053
2015,Twentieth Century Fox,"['Adventure', 'Drama', 'Sci-Fi']",228433663,401728785,630162448
2008,Sony Pictures Entertainment (SPE),"['Action', 'Drama', 'Fantasy']",227946274,401497154,629443428
2011,Universal Pictures,"['Action', 'Crime', 'Thriller']",209837675,416300000,626137675
2012,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",179020854,445005922,624026776
2010,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",312433331,311500000,623933331
2007,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",206445654,417280431,623726085
2014,Twentieth Century Fox,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",177002924,444534595,621537519
2017,Twentieth Century Fox,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",226277068,392902882,619179950
1997,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi']",229086679,389552320,618638999
2006,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Thriller']",167445960,449056952,616502912
2004,Newmarket Films,['Drama'],370782930,241271576,612054506
2008,Universal Pictures,"['Comedy', 'Musical', 'Romance']",144169664,467088155,611257819
2012,Twentieth Century Fox,"['Adventure', 'Drama', 'Fantasy']",124987023,484029542,609016565
2017,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",130168683,475256474,605425157
2008,DreamWorks,"['Adventure', 'Animation', 'Comedy', 'Family']",180010950,423889404,603900354
2005,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",234280354,369592765,603873119
2010,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",200821936,391640880,592462816
2008,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Thriller']",168368427,421212055,589580482
1997,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",250690539,338700000,589390539
2013,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",187168425,400067558,587235983
2011,Warner Bros.,['Comedy'],254464305,332300000,586764305
2008,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",319034126,266762121,585796247
2007,Warner Bros.,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",256393010,329017042,585410052
2018,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",137690172,445203499,582893671
2001,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",290642256,289065482,579707738
2015,Universal Pictures,"['Drama', 'Romance', 'Thriller']",166167230,403484237,569651467
2017,Warner Bros.,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",168052812,398600000,566652812
2011,Sony Pictures Entertainment (SPE),"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",142614158,421135165,563749323
2011,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",191452396,368400000,559852396
2005,Universal Pictures,"['Action', 'Adventure', 'Drama', 'Romance']",218080025,338826353,556906378
2011,DreamWorks,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",149260504,405726973,554987477
1998,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",201578182,352131606,553709788
2004,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",186740799,365898772,552639571
2012,Universal Pictures,['Comedy'],218815487,330552828,549368315
2014,Warner Bros.,"['Action', 'Biography', 'Drama', 'War']",350126372,197300000,547426372
2000,Paramount Pictures,"['Action', 'Adventure', 'Thriller']",215409889,330978219,546388108
