Release Year,Distributor,Genre, Domestic Sales (in $) , International Sales (in $) , World Sales (in $) 
2017,Twentieth Century Fox,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",100234838,310667824,410902662
2008,Summit Entertainment,"['Drama', 'Fantasy', 'Romance']",193962473,214467942,408430415
2002,Walt Disney Studios Motion Pictures,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",227966634,180281283,408247917
2003,Twentieth Century Fox,"['Action', 'Sci-Fi', 'Thriller']",214949694,192761855,407711549
2019,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",85838210,319142333,404980543
2008,Universal Pictures,"['Action', 'Fantasy', 'Horror', 'War']",102491776,300958054,403449830
2012,Twentieth Century Fox,"['Adventure', 'Mystery', 'Sci-Fi']",126477084,276877385,403354469
2018,Universal Pictures,"['Comedy', 'Musical', 'Romance']",120634935,281619449,402254384
2010,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",172062763,228001089,400063852
2006,Paramount Pictures,"['Action', 'Adventure', 'Thriller']",134029801,264449696,398479497
2012,Universal Pictures,"['Action', 'Adventure', 'Drama', 'Fantasy']",155332381,241260448,396592829
1978,Paramount Pictures,"['Comedy', 'Musical', 'Romance']",190071103,206200000,396271103
2018,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",213767512,179157295,392924807
2013,Paramount Pictures,"['Biography', 'Comedy', 'Crime', 'Drama']",116900694,275100000,392000694
2006,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",200081192,191000000,391081192
1991,Warner Bros.,"['Action', 'Adventure', 'Drama', 'Romance']",165493908,225000000,390493908
1981,Paramount Pictures,"['Action', 'Adventure']",248159971,141766000,389925971
2016,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi']",103144286,286537649,389681935
2007,Twentieth Century Fox,"['Action', 'Thriller']",134529403,253626608,388156011
2019,Warner Bros.,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",110500138,276100000,386600138
2015,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",177397510,208644097,386041607
2009,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",257730019,127950427,385680446
2019,Universal Pictures,"['Action', 'Drama', 'War']",159227644,225691745,384919389
2006,Warner Bros.,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",198000317,186335791,384336108
2002,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family']",176387405,206869731,383257136
1985,Universal Pictures,"['Adventure', 'Comedy', 'Sci-Fi']",211406762,170500000,381906762
2017,Universal Pictures,"['Drama', 'Romance']",114581250,266964596,381545846
2009,DreamWorks,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",198351526,183158344,381509870
1998,Sony Pictures Entertainment (SPE),"['Action', 'Sci-Fi', 'Thriller']",136314294,242700000,379014294
1994,Twentieth Century Fox,"['Action', 'Comedy', 'Thriller']",146282411,232600000,378882411
2008,Fox Searchlight Pictures,"['Drama', 'Romance']",141319928,237090614,378410542
2012,Twentieth Century Fox,"['Action', 'Crime', 'Thriller']",139854287,236298168,376152455
2013,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",122523060,253217645,375740705
2015,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",154058340,221600410,375658750
2018,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",190241310,185299521,375540831
2004,DreamWorks Distribution,"['Adventure', 'Animation', 'Comedy', 'Family', 'Thriller']",160861908,213721971,374583879
2019,Sony Pictures Entertainment (SPE),"['Comedy', 'Drama']",142502728,232063026,374565754
2000,Paramount Pictures,"['Comedy', 'Fantasy', 'Romance']",182811707,191300000,374111707
2005,Warner Bros.,"['Action', 'Crime', 'Drama']",206852432,166809514,373661946
2014,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",83850911,289664710,373515621
2009,Twentieth Century Fox,"['Action', 'Sci-Fi']",179883157,193179707,373062864
2018,Universal Pictures,"['Drama', 'Romance', 'Thriller']",100407760,271580078,371987838
2005,Sony Pictures Entertainment (SPE),"['Comedy', 'Romance']",179495555,192098655,371594210
2009,Warner Bros.,"['Action', 'Sci-Fi']",125322469,246030532,371353001
2011,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",176654505,193915269,370569774
2014,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",100206256,270335000,370541256
1998,Twentieth Century Fox,"['Comedy', 'Romance']",176484651,193400000,369884651
2014,Twentieth Century Fox,"['Drama', 'Mystery', 'Thriller']",167767189,201563174,369330363
2001,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",181171875,187608934,368780809
2002,IFC Films,"['Comedy', 'Drama', 'Romance']",241438208,127305836,368744044
1995,Twentieth Century Fox,"['Action', 'Adventure', 'Thriller']",100012499,266089167,366101666
2019,Warner Bros.,"['Action', 'Adventure', 'Comedy', 'Fantasy']",140371656,225600000,365971656
2018,Warner Bros.,"['Horror', 'Mystery', 'Thriller']",117450119,248101575,365551694
2007,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",217326974,148025572,365352546
1999,Universal Pictures,"['Comedy', 'Drama', 'Romance']",116089678,247800000,363889678
1998,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",162798565,200460294,363258859
2014,Twentieth Century Fox,"['Adventure', 'Comedy', 'Family', 'Fantasy']",113746621,249458014,363204635
2004,Warner Bros.,"['Crime', 'Thriller']",125544280,237200000,362744280
2001,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",180011740,182200000,362211740
2013,Warner Bros.,"['Comedy', 'Crime']",112200072,249800000,362000072
1999,Metro-Goldwyn-Mayer (MGM),"['Action', 'Adventure', 'Thriller']",126943684,234888716,361832400
2009,Universal Pictures,"['Action', 'Crime', 'Thriller']",155064265,205302605,360366870
2014,Paramount Pictures,"['Action', 'Adventure', 'Drama']",101200044,258000000,359200044
2010,Sony Pictures Entertainment (SPE),"['Action', 'Drama', 'Family', 'Sport']",176591618,182534404,359126022
2012,Sony Pictures Entertainment (SPE),"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",148313048,210062555,358375603
2002,Twentieth Century Fox,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",132072926,226300000,358372926
2016,Warner Bros.,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",126643061,230057296,356700357
1999,DreamWorks Distribution,['Drama'],130096601,226200000,356296601
1988,Metro-Goldwyn-Mayer (MGM),['Drama'],172825435,182000000,354825435
2013,Warner Bros.,"['Drama', 'Romance']",144840419,208801855,353642274
2019,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy']",114766307,238518314,353284621
2004,Twentieth Century Fox,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",144801023,208332875,353133898
1992,TriStar Pictures,"['Drama', 'Mystery', 'Thriller']",117727224,235200000,352927224
2017,Twentieth Century Fox,"['Crime', 'Drama', 'Mystery']",102826543,249967538,352794081
2011,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi']",146408305,206208385,352616690
2016,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",107509366,244824563,352333929
2002,DreamWorks Distribution,"['Biography', 'Crime', 'Drama']",164615351,187498961,352114312
2013,Lionsgate,"['Crime', 'Mystery', 'Thriller']",117723989,234000000,351723989
2001,Metro-Goldwyn-Mayer (MGM),"['Crime', 'Drama', 'Thriller']",165092268,186600000,351692268
1994,New Line Cinema,"['Action', 'Comedy', 'Crime', 'Fantasy']",119938730,231644677,351583407
2018,Sony Pictures Entertainment (SPE),"['Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy']",115253424,236242642,351496066
1994,Twentieth Century Fox,"['Action', 'Adventure', 'Thriller']",121248145,229200000,350448145
2000,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']",137748063,212074702,349822765
2018,Walt Disney Studios Motion Pictures,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",171958438,177587704,349546142
2012,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",214030500,134809816,348840316
2014,Twentieth Century Fox,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",102427862,245891999,348319861
2004,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Mystery', 'Thriller']",173008894,174503424,347512318
2001,New Line Cinema,"['Action', 'Comedy', 'Crime', 'Thriller']",226164286,121161516,347325802
2016,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",153707064,193157822,346864886
2000,Universal Pictures,"['Comedy', 'Family', 'Fantasy']",260465005,85108027,345573032
2016,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",158848340,184623476,343471816
2011,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']",133110742,209584693,342695435
2008,Universal Pictures,"['Action', 'Crime', 'Thriller']",134508551,207954512,342463063
1994,Universal Pictures,"['Comedy', 'Family', 'Fantasy']",130531208,211100000,341631208
2018,Paramount Pictures,"['Drama', 'Horror', 'Sci-Fi']",188024361,152928610,340952971
2007,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",127807262,212680574,340487836
2014,Warner Bros.,"['Action', 'Drama']",106580051,231000000,337580051
1995,Warner Bros.,"['Action', 'Adventure']",184069126,152498032,336567158
2009,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy']",90759676,245606000,336365676
2008,Paramount Pictures,"['Drama', 'Fantasy', 'Romance']",127509326,208293460,335802786
2012,Warner Bros.,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",103860290,231400000,335260290
1996,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Thriller']",134069511,200993110,335062621
2005,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",154696080,178839854,333535934
1984,Paramount Pictures,"['Action', 'Adventure']",179870271,153237000,333107271
1989,Universal Pictures,"['Adventure', 'Comedy', 'Sci-Fi']",119000002,213500000,332500002
2014,Sony Pictures Entertainment (SPE),"['Action', 'Comedy', 'Crime']",191719337,139614539,331333876
2000,Universal Pictures,"['Comedy', 'Romance']",166244045,164200000,330444045
1988,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",156452370,173351588,329803958
2010,Fox Searchlight Pictures,"['Drama', 'Thriller']",106954678,222443368,329398046
2000,Warner Bros.,"['Action', 'Adventure', 'Drama', 'Thriller']",182618434,146100000,328718434
1995,New Line Cinema,"['Crime', 'Drama', 'Mystery', 'Thriller']",100125643,227207916,327333559
2019,Lionsgate,"['Action', 'Crime', 'Thriller']",171015687,156266092,327281779
2006,Twentieth Century Fox,"['Comedy', 'Drama']",124740460,201965655,326706115
2015,Twentieth Century Fox,"['Action', 'Crime', 'Thriller']",89256424,237222717,326479141
1996,Walt Disney Studios Motion Pictures,"['Animation', 'Drama', 'Family', 'Musical', 'Romance']",100138851,225200000,325338851
2009,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",137855863,187430783,325286646
2015,Paramount Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",162994032,162192000,325186032
1993,Universal Pictures,"['Biography', 'Drama', 'History']",96898818,225262427,322161245
2010,DreamWorks,"['Action', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery', 'Sci-Fi', 'Thriller']",148415853,173469912,321885765
2016,Warner Bros.,"['Horror', 'Mystery', 'Thriller']",102470008,219318211,321788219
2018,Universal Pictures,"['Biography', 'Comedy', 'Drama', 'Music']",85080171,236672485,321752656
1992,Warner Bros.,"['Action', 'Crime', 'Thriller']",144731527,177000000,321731527
2009,Sony Pictures Entertainment (SPE),"['Comedy', 'Romance']",88915214,232767386,321682600
2010,Universal Pictures,"['Action', 'Adventure', 'Drama', 'History']",105269730,216400011,321669741
2009,The Weinstein Company,"['Adventure', 'Drama', 'War']",120540719,200917028,321457747
2013,Warner Bros.,"['Horror', 'Mystery', 'Thriller']",137400141,182890848,320290989
2020,Paramount Pictures,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",148974665,170741018,319715683
2010,Paramount Pictures,"['Action', 'Adventure', 'Family', 'Fantasy']",131772187,187941694,319713881
2009,Walt Disney Studios Motion Pictures,"['Comedy', 'Drama', 'Romance']",163958031,153417000,317375031
2001,Universal Pictures,"['Biography', 'Drama']",170742341,146048916,316791257
1997,Sony Pictures Entertainment (SPE),"['Action', 'Drama', 'Thriller']",172956409,142200000,315156409
2012,Lionsgate,"['Action', 'Adventure', 'Thriller']",85028192,229947763,314975955
2005,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",135386665,179046172,314432837
2004,Warner Bros.,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",187935490,126279964,314215454
1997,Sony Pictures Entertainment (SPE),"['Comedy', 'Drama', 'Romance']",148478011,165700000,314178011
2015,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",81697192,230598864,312296056
1999,New Line Cinema,"['Action', 'Adventure', 'Comedy', 'Crime']",206040086,105976842,312016928
2017,Warner Bros.,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",175750384,136200000,311950384
2019,Lionsgate,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",165363234,146242347,311605581
2010,Universal Pictures,"['Comedy', 'Romance']",148438600,162211985,310650585
2008,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Sci-Fi']",114053579,195926415,309979994
1999,Paramount Pictures,"['Comedy', 'Romance']",152257509,157202783,309460292
2009,Warner Bros.,"['Biography', 'Drama', 'Sport']",255959475,53248834,309208309
2014,Twentieth Century Fox,"['Drama', 'Romance']",124872350,182294484,307166834
2006,Sony Pictures Entertainment (SPE),"['Biography', 'Drama']",163566459,143561166,307127625
2012,DreamWorks,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",103412758,203528912,306941670
2002,Miramax,"['Comedy', 'Crime', 'Musical']",170687518,136089214,306776732
2017,Warner Bros.,"['Horror', 'Mystery', 'Thriller']",102092201,204423683,306515884
2016,Sony Pictures Entertainment (SPE),"['Drama', 'Romance', 'Sci-Fi', 'Thriller']",100014699,203129453,303144152
2009,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",150201498,152267519,302469017
2012,Warner Bros.,"['Action', 'Adventure', 'Fantasy']",83670083,218300000,301970083
2007,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",131921738,169991393,301913131
1991,TriStar Pictures,"['Adventure', 'Comedy', 'Family', 'Fantasy']",119654823,181200000,300854823
1978,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",134451603,166000000,300451603
2004,Universal Pictures,"['Action', 'Adventure', 'Fantasy', 'Thriller']",120177084,179980554,300157638
1999,Sony Pictures Entertainment (SPE),"['Adventure', 'Comedy', 'Family', 'Fantasy']",140035367,160100000,300135367
1997,Sony Pictures Entertainment (SPE),"['Comedy', 'Drama', 'Romance']",127120029,172168576,299288605
2008,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music']",154529439,144043360,298572799
2018,Warner Bros.,"['Action', 'Comedy', 'Crime', 'Thriller']",140218711,157500000,297718711
2015,Lionsgate,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",130179072,166823455,297002527
2002,New Line Cinema,"['Action', 'Adventure', 'Comedy', 'Crime']",213307889,83630912,296938801
1984,Columbia Pictures,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",243578797,53000000,296578797
2016,Twentieth Century Fox,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",87242834,209239612,296482446
2000,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi']",157299718,139039810,296339528
2017,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",84410380,211658819,296069199
2010,Paramount Pictures,"['Mystery', 'Thriller']",128012934,166792763,294805697
2007,DreamWorks,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",126631277,166883059,293514336
2010,Sony Pictures Entertainment (SPE),"['Action', 'Thriller']",118311368,175191986,293503354
2009,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",119436770,173381128,292817898
2006,Warner Bros.,"['Crime', 'Drama', 'Thriller']",132384315,159081058,291465373
2000,DreamWorks Distribution,"['Drama', 'Horror', 'Mystery', 'Thriller']",155464351,135956000,291420351
2004,Universal Pictures,"['Action', 'Mystery', 'Thriller']",176241941,114593328,290835269
2010,Warner Bros.,"['Comedy', 'Drama', 'Romance']",95347692,195397363,290745055
1998,Miramax,"['Comedy', 'Drama', 'History', 'Romance']",100317794,189000000,289317794
2014,Lionsgate,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",150947895,137937923,288885818
2005,New Line Cinema,"['Comedy', 'Romance']",209255921,79211724,288467645
2011,Universal Pictures,"['Comedy', 'Romance']",169106725,119276798,288383523
2001,Universal Pictures,['Comedy'],145103595,142450000,287553595
2015,Universal Pictures,"['Comedy', 'Music']",184296230,102847849,287144079
1999,Warner Bros.,"['Crime', 'Drama', 'Fantasy', 'Mystery']",136801374,150000000,286801374
2013,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi']",89107235,197061337,286168572
2013,TriStar Pictures,"['Action', 'Drama', 'Sci-Fi']",93050117,193090583,286140700
1998,Warner Bros.,"['Action', 'Crime', 'Thriller']",130444603,155000000,285444603
2013,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",83028128,199542554,282570682
2017,Universal Pictures,"['Horror', 'Thriller']",138291365,140163052,278454417
2000,Miramax,['Comedy'],157019771,121000000,278019771
2002,Revolution Studios,"['Action', 'Adventure', 'Thriller']",142109382,135339000,277448382
2012,Universal Pictures,"['Action', 'Adventure', 'Thriller']",113203870,162940880,276144750
2014,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'History', 'Sci-Fi']",111506430,164191609,275698039
2002,Warner Bros.,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",153294164,122356539,275650703
2012,Walt Disney Studios Motion Pictures,"['Biography', 'Drama', 'History', 'War']",182207973,93085477,275293450
2001,Paramount Pictures,"['Action', 'Adventure', 'Fantasy', 'Thriller']",131168070,143535270,274703340
2010,Lionsgate,"['Action', 'Adventure', 'Thriller']",103068524,171401870,274470394
2013,Sony Pictures Entertainment (SPE),"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",119793567,154532382,274325949
1996,Universal Pictures,"['Comedy', 'Romance', 'Sci-Fi']",128814019,145147000,273961019
1996,Sony Pictures Entertainment (SPE),"['Comedy', 'Drama', 'Romance', 'Sport']",153952592,119600000,273552592
2003,Sony Pictures Entertainment (SPE),"['Action', 'Comedy', 'Crime', 'Thriller']",138608444,134731112,273339556
2002,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",145794338,127349813,273144151
1991,Orion Pictures,"['Crime', 'Drama', 'Horror', 'Thriller']",130742922,142000000,272742922
2010,Sony Pictures Entertainment (SPE),['Comedy'],162001186,109456115,271457301
2014,Universal Pictures,['Comedy'],150157400,120507734,270665134
2012,Warner Bros.,"['Comedy', 'Crime']",150394119,119600000,269994119
2008,Warner Bros.,['Drama'],148095302,121862926,269958228
2008,Warner Bros.,"['Action', 'Adventure', 'Drama', 'Fantasy', 'History']",94784201,175000000,269784201
2007,Universal Pictures,"['Biography', 'Crime', 'Drama']",130164645,139590785,269755430
2013,Twentieth Century Fox,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Mystery']",107518682,160907952,268426634
2009,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",104400899,162644866,267045765
1992,Warner Bros.,"['Action', 'Crime', 'Fantasy']",162902340,103990656,266892996
2003,Sony Pictures Entertainment (SPE),"['Comedy', 'Drama', 'Romance']",124728738,140600000,265328738
2008,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi']",134806913,129964083,264770996
1995,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi']",88246220,175972000,264218220
2000,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",125305545,138800000,264105545
1995,Sony Pictures Entertainment (SPE),"['Adventure', 'Comedy', 'Family', 'Fantasy']",100499940,162322000,262821940
2006,Twentieth Century Fox,['Comedy'],128505958,134046935,262552893
2005,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Romance', 'Sci-Fi']",128200012,134311478,262511490
1990,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",119412921,141905000,261317921
2013,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Western']",89302115,171200000,260502115
2011,Paramount Pictures,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",127004179,133091807,260095986
2017,Warner Bros.,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",92054159,167280389,259334548
2003,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Crime']",100830111,158345677,259175788
2007,New Line Cinema,"['Action', 'Comedy', 'Crime', 'Thriller']",140125968,117971154,258097122
2014,Warner Bros.,"['Horror', 'Mystery', 'Thriller']",84273813,173305469,257579282
2003,Walt Disney Studios Motion Pictures,"['Drama', 'Mystery', 'Thriller']",114197520,142500000,256697520
2000,Universal Pictures,"['Biography', 'Drama']",125595205,130676081,256271286
2018,Universal Pictures,"['Crime', 'Horror', 'Thriller']",159342015,96272926,255614941
2019,Universal Pictures,"['Horror', 'Mystery', 'Thriller']",175084580,80100902,255185482
1993,TriStar Pictures,"['Action', 'Adventure', 'Thriller']",84049211,170951000,255000211
2008,Walt Disney Studios Motion Pictures,"['Comedy', 'Drama', 'Family', 'Music', 'Musical', 'Romance']",90559416,162349761,252909177
1997,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",99112101,153600000,252712101
2010,Paramount Pictures,"['Drama', 'Western']",171243005,81033922,252276927
2013,Sony Pictures Entertainment (SPE),"['Crime', 'Drama']",150117807,101054000,251171807
1998,Walt Disney Studios Motion Pictures,"['Action', 'Thriller']",111549836,139299953,250849789
1998,Warner Bros.,"['Comedy', 'Drama', 'Romance']",115821495,135000000,250821495
1998,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller', 'Western']",94095523,156193000,250288523
2002,DreamWorks Distribution,"['Horror', 'Mystery']",129128133,120220800,249348933
1999,Artisan Entertainment,"['Horror', 'Mystery']",140539099,108100000,248639099
2000,Walt Disney Studios Motion Pictures,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",95011339,153106782,248118121
1994,New Line Cinema,['Comedy'],127175374,120100000,247275374
2019,Universal Pictures,"['Drama', 'Sci-Fi', 'Thriller']",111048468,135950571,246999039
2013,Sony Pictures Entertainment (SPE),['Comedy'],133668525,113315753,246984278
2015,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",130178411,116054702,246233113
1972,Paramount Pictures,"['Crime', 'Drama']",134966411,111154575,246120986
2011,Paramount Pictures,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Western']",123477607,122246996,245724603
1997,Paramount Pictures,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",112276146,133400000,245676146
2016,Paramount Pictures,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",82051601,163572247,245623848
2003,Universal Pictures,"['Action', 'Sci-Fi']",132177234,113107931,245285165
1990,Universal Pictures,"['Adventure', 'Comedy', 'Sci-Fi', 'Western']",88277583,156800000,245077583
1998,New Line Cinema,"['Action', 'Comedy', 'Crime', 'Thriller']",141186864,103534200,244721064
2008,Warner Bros.,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",101704370,142528318,244232688
1992,Columbia Pictures,"['Drama', 'Thriller']",141340178,101900000,243240178
2009,Sony Pictures Entertainment (SPE),"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",124870275,118135851,243006126
2002,Universal Pictures,"['Drama', 'Music']",116750901,126124177,242875078
1996,Warner Bros.,"['Action', 'Crime', 'Thriller']",101295562,141000000,242295562
2016,Warner Bros.,"['Biography', 'Drama']",125070033,115727590,240797623
2006,Revolution Studios,"['Comedy', 'Drama', 'Fantasy', 'Romance']",137355633,103329693,240685326
1990,Twentieth Century Fox,"['Action', 'Thriller']",117540947,122490327,240031274
2013,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",90288712,148970000,239258712
2018,Warner Bros.,"['Comedy', 'Drama', 'Romance']",174532921,64006277,238539198
1997,Warner Bros.,"['Action', 'Sci-Fi']",107353792,130881927,238235719
2019,Focus Features,"['Drama', 'Romance']",96854135,96941361,237860050
2000,Walt Disney Studios Motion Pictures,"['Action', 'Crime', 'Thriller']",101648571,135553728,237202299
2012,The Weinstein Company,"['Comedy', 'Drama', 'Romance']",132092958,104319495,236412453
2003,Universal Pictures,"['Action', 'Crime', 'Thriller']",127154901,109195760,236350661
2016,Twentieth Century Fox,"['Biography', 'Drama', 'History']",169607287,66349611,235956898
2015,Twentieth Century Fox,"['Action', 'Comedy']",110825712,124840507,235666219
1999,Universal Pictures,['Comedy'],102561004,132922000,235483004
1999,Sony Pictures Entertainment (SPE),"['Comedy', 'Drama']",163479795,71322100,234801895
2003,Universal Pictures,['Comedy'],104565114,128157821,232722935
2011,Sony Pictures Entertainment (SPE),"['Crime', 'Drama', 'Mystery', 'Thriller']",102515793,130101637,232617430
2007,Fox Searchlight Pictures,"['Comedy', 'Drama']",143495265,88877416,232372681
2012,Warner Bros.,"['Biography', 'Drama', 'Thriller']",136025503,96300000,232325503
2008,Warner Bros.,"['Action', 'Adventure', 'Comedy']",130319208,100366245,230685453
1996,Twentieth Century Fox,"['Action', 'Comedy', 'Crime']",159582188,70348583,229930771
2016,Sony Pictures Entertainment (SPE),"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",128350574,100796935,229147509
2007,Sony Pictures Entertainment (SPE),"['Action', 'Fantasy', 'Thriller']",115802596,112935797,228738393
1993,TriStar Pictures,"['Comedy', 'Drama', 'Romance']",126808165,101119000,227927165
2011,Sony Pictures Entertainment (SPE),"['Action', 'Comedy', 'Crime']",98780042,129037206,227817248
